Name,compass.d.h-
Comment,COMPASS isoscalar h-. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1709.07374
Process type,SIDIS
Number of points,2332
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
compass.d.h-.46,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.1441434425065387,1.1135528725660044,1.174734012447073,0.0443,0.0088,0.009382739999999999,0.0005964124955296641,0.054193888341232656,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.47,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.2038084065204342,1.174734012447073,1.2328828005937953,0.0276,0.0056,0.00606648,0.00037157979405459885,0.054193888341232656,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.48,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.2645154701376837,1.2328828005937953,1.296148139681572,0.0217,0.0054,0.00537509,0.00029214788155742014,0.04741965229857863,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.49,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.328147595277558,1.296148139681572,1.3601470508735443,0.0125,0.0035,0.0033887500000000003,0.00016828795020588718,0.044630260986897416,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.50,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.3959645786005899,1.3601470508735443,1.4317821063276353,0.0073,0.0028,0.0024374699999999997,9.82801629202381e-05,0.037935721838862846,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.51,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.4823765390016121,1.4317821063276353,1.5329709716755893,0.0046,0.0017,0.0015686,6.192996567576648e-05,0.025290481225908535,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.52,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.58042651564278,1.5329709716755893,1.6278820596099706,0.0049,0.002,0.0018208399999999998,6.596887648070777e-05,0.02529048122590857,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.53,1 / 1 / -1 / 2103,301.03984399999996,6.5,4.0,9.0,0.305,0.21,0.4,0.25,0.2,0.3,1.6799664335894238,1.6278820596099706,1.7320508075688772,0.0025,0.001,0.0009555,3.3657590041177436e-05,0.02167755533649307,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.54,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.29953523924572845,0.282842712474619,0.31622776601683794,4.4592,0.1941,0.38126160000000003,0.07821928616167628,0.30518904497750043,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.55,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.3313189637653067,0.31622776601683794,0.34641016151377546,4.6329,0.2057,0.3961129500000001,0.081266175739691,0.30518904497750066,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.56,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.3602879500955848,0.34641016151377546,0.37416573867739417,3.7869,0.1801,0.33097506000000004,0.06642640266542249,0.3051890449775002,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.57,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.3932381506195801,0.37416573867739417,0.41231056256176607,3.9451,0.158,0.3353335,0.06920140514810484,0.20345936331833367,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.58,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.429762079030862,0.41231056256176607,0.4472135954999579,3.4602,0.1564,0.29896128,0.060695724339933685,0.20345936331833384,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.59,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.46339837391561495,0.4472135954999579,0.47958315233127197,3.0809,0.1297,0.26310886000000006,0.054042384000607395,0.20345936331833347,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.60,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.4995991973009676,0.47958315233127197,0.5196152422706632,2.4601,0.1054,0.21132259000000003,0.04315286730497395,0.15259452248875,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.61,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.5336688998879147,0.5196152422706632,0.5477225575051661,2.1347,0.1133,0.18956136,0.03744499241328722,0.20345936331833464,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.62,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.5696652679075638,0.5477225575051661,0.5916079783099616,1.9214,0.0823,0.16754608,0.03370347515945569,0.12207561799100007,True,0.1,0.9,25.0,10000.0,0.938,0.139
compass.d.h-.63,1 / 1 / -1 / 2103,301.03984399999996,3.3228756555322954,2.6457513110645907,4.0,0.0435,0.032,0.055,0.25,0.2,0.3,0.6120317551718187,0.5916079783099616,0.6324555320336759,1.6607,0.0762,0.1461416,0.029130509626994934,0.12207561799100007,True,0.1,0.9,25.0,10000.0,0.938,0.139
