Name,hermes.p.no-vmsub.zxpt.pi-
Comment,HERMES proton-to-pi- (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,335
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.pi-.61,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.1594547,0.1,0.2,0.7513606,0.6,0.8,1.320116,0.0569799,0.1851814,0.028372341599994112,0.0032931368947300274,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.62,1 / 1 / -1 / 2001,52.657444,1.2292367550638892,1.0,4.47213595499958,0.06109442,0.047,0.075,0.2029049,0.2,0.25,1.206751,0.8,1.2,0.1360592,0.05247167,0.02018836,0.0029242264317847206,0.00329313689473003,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.63,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2238179,0.2,0.25,0.1007701,0.0,0.15,1.662189,0.0310696,0.08611948,0.03572428037517355,0.008781698385946746,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.64,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2261151,0.2,0.25,0.2055796,0.15,0.25,3.274455,0.05251123,0.1224502,0.07037560018499034,0.013172547578920118,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.65,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2273944,0.2,0.25,0.3058954,0.25,0.35,3.786061,0.05853504,0.7650699,0.08137119466048082,0.01317254757892012,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.66,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2282635,0.2,0.25,0.4071821,0.35,0.45,3.377637,0.05226206,0.379483,0.0725932196600748,0.013172547578920113,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.67,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2326019,0.2,0.25,0.5383136,0.45,0.6,2.081506,0.03403389,0.08605569,0.04473637110256776,0.008781698385946748,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.68,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2376982,0.2,0.25,0.7228639,0.6,0.8,0.8648507,0.02388716,0.01680931,0.01858763888430564,0.0065862737894600565,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.69,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2470436,0.2,0.25,1.016467,0.8,1.2,0.1612785,0.01431764,0.004759843,0.0034662474318428453,0.00329313689473003,True,0.1,0.85,10.0,10000.0,0.938,0.139
hermes.p.no-vmsub.zxpt.pi-.70,1 / 1 / -1 / 2001,52.657444,1.2288104003466116,1.0,4.47213595499958,0.06109764,0.047,0.075,0.2737029,0.25,0.3,0.1008558,0.0,0.15,1.01834,0.02363941,0.1388749,0.021886478419273762,0.008781698385946746,True,0.1,0.85,10.0,10000.0,0.938,0.139
